complaint_id,customer_id,order_id,complaint_text,complaint_date,fraud_score,fraud_classification,refund_applicable,fraud_reason,Issue_Type,Issue_Severity,Sentiment,Urgency,Computed_Fraud_Score,Computed_Fraud_Class,Computed_Refund_Applicable,Computed_Fraud_Reason
CMP-032,C-032,O-032,I don’t like this product anymore,2026-04-04,17,Fraud,No,Change of mind,Other,Low,Positive,Normal,6,Legitimate,Yes,Valid defect
CMP-240,C-032,O-240,hmm not what i imagined,2026-04-24,18,Fraud,No,Expectation mismatch,Other,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-340,C-032,O-340,works fine but refund pls,2026-05-04,20,Fraud,No,Invalid request,Other,Low,Positive,Normal,6,Legitimate,Yes,Valid defect
CMP-033,C-033,O-033,Changed my mind after buying,2026-04-04,16,Fraud,No,Change of mind,Performance issue,Low,Neutral,Normal,18,Fraud,No,Change of mind
CMP-107,C-033,O-107,tablet not charging at all,2026-04-11,6,Legitimate,Yes,Charging defect,Battery issue,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-108,C-033,O-108,tablet touch little slow but ok,2026-04-11,13,Fraud,No,Low severity,Performance issue,Low,Positive,Normal,6,Legitimate,Yes,Valid defect
CMP-231,C-033,O-231,screen lines appear sometimes then disappear,2026-04-24,7,Legitimate,Yes,Display issue,Screen damage,Low,Negative,Normal,21,Fraud,No,Frequent Abuser
CMP-331,C-033,O-331,device not recognizing storage,2026-05-04,6,Legitimate,Yes,Hardware issue,Other,Low,Neutral,Normal,31,Fraud,No,Frequent Abuser
CMP-034,C-034,O-034,This doesn’t match my style,2026-04-04,18,Fraud,No,Change of mind,Other,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-167,C-034,O-167,tablet screen cracked,2026-04-17,6,Legitimate,Yes,Physical damage,Screen damage,Low,Neutral,Normal,22,Fraud,No,Vague complaint
CMP-168,C-034,O-168,tablet touch bit slow,2026-04-17,14,Fraud,No,Low severity,Performance issue,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-222,C-034,O-222,phone overheating even when idle,2026-04-23,7,Legitimate,Yes,Overheating issue,Heating issue,Low,Neutral,Normal,21,Fraud,No,Frequent Abuser
CMP-322,C-034,O-322,bluetooth pairing inconsistent,2026-05-03,7,Legitimate,Yes,Connectivity issue,Other,Low,Neutral,Normal,47,Fraud,No,Frequent Abuser
CMP-429,C-034,O-570,this doesnt match description exactly,2026-05-13,88,Fraud,No,Unverified mismatch,Other,Low,Neutral,Normal,100,Fraud,No,Frequent Abuser
CMP-481,C-034,O-606,device not connecting network,2026-05-19,6,Legitimate,Yes,Connectivity issue,Other,Low,Neutral,Normal,31,Fraud,No,Frequent Abuser
CMP-035,C-035,O-035,I thought it would look better,2026-04-04,17,Fraud,No,Change of mind,Other,Low,Positive,Normal,6,Legitimate,Yes,Valid defect
CMP-213,C-035,O-213,mouse scroll not smooth at all,2026-04-22,6,Legitimate,Yes,Hardware issue,Other,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-313,C-035,O-313,keyboard typing delayed slightly,2026-05-02,6,Legitimate,Yes,Performance issue,Performance issue,Low,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-036,C-036,O-036,Bad product,2026-04-04,20,Fraud,No,Vague complaint,Other,Low,Negative,Normal,22,Fraud,No,Vague complaint
CMP-204,C-036,O-204,device worked fine for few days then stopped 😕,2026-04-21,7,Legitimate,Yes,Hardware defect,Other,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-304,C-036,O-304,device gets hot near camera,2026-05-01,7,Legitimate,Yes,Overheating issue,Heating issue,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-438,C-036,O-628,expected something better,2026-05-14,18,Fraud,No,Expectation mismatch,Other,Low,Positive,Normal,37,Fraud,No,Frequent Abuser
CMP-490,C-036,O-721,device fine but refund pls,2026-05-19,20,Fraud,No,Invalid request,Other,Low,Positive,Normal,31,Fraud,No,Frequent Abuser
CMP-037,C-037,O-037,Not good 😒,2026-04-04,22,Fraud,No,Vague complaint,Other,Low,Negative,Normal,22,Fraud,No,Vague complaint
CMP-295,C-037,O-295,device heats up during calls,2026-04-30,7,Legitimate,Yes,Overheating issue,Heating issue,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-395,C-037,O-395,device heating during calls,2026-05-10,7,Legitimate,Yes,Overheating issue,Heating issue,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-038,C-038,O-038,Very disappointed,2026-04-04,21,Fraud,No,Vague complaint,Other,Low,Negative,Normal,22,Fraud,No,Vague complaint
CMP-286,C-038,O-286,ok product but meh,2026-04-29,21,Fraud,No,Vague complaint,Other,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-386,C-038,O-386,ok,2026-05-09,22,Fraud,No,Vague complaint,Other,Low,Positive,Normal,22,Fraud,No,Vague complaint
CMP-412,C-038,O-467,device stuck on startup screen,2026-05-12,6,Legitimate,Yes,System issue,Screen damage,Low,Negative,Normal,21,Fraud,No,Frequent Abuser
CMP-464,C-038,O-799,mouse stops responding randomly,2026-05-17,7,Legitimate,Yes,Hardware issue,Other,Low,Negative,Normal,31,Fraud,No,Frequent Abuser
CMP-039,C-039,O-039,Worst,2026-04-04,23,Fraud,No,Vague complaint,Other,Low,Negative,Normal,22,Fraud,No,Vague complaint
CMP-117,C-039,O-117,monitor showing lines on screen,2026-04-12,7,Legitimate,Yes,Display defect,Screen damage,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-118,C-039,O-118,monitor brightness low nothing serious,2026-04-12,13,Fraud,No,Low severity,Screen damage,Low,Positive,Normal,6,Legitimate,Yes,Valid defect
CMP-151,C-039,O-151,screen showing green lines,2026-04-16,7,Legitimate,Yes,Display defect,Screen damage,Low,Neutral,Normal,21,Fraud,No,Frequent Abuser
CMP-152,C-039,O-152,wrong model sent completely diff,2026-04-16,92,Fraud,No,Unverified mismatch,Other,High,Negative,Normal,100,Fraud,No,Frequent Abuser
CMP-277,C-039,O-277,box looked unopened but inside scratched item,2026-04-28,94,Fraud,No,Switcheroo suspected,Other,Low,Neutral,Normal,31,Fraud,No,Frequent Abuser
CMP-377,C-039,O-377,box had marks inside,2026-05-08,94,Fraud,No,Switcheroo suspected,Other,Low,Neutral,Normal,31,Fraud,No,Frequent Abuser
CMP-447,C-039,O-686,box had marks inside,2026-05-15,94,Fraud,No,Switcheroo suspected,Other,Low,Neutral,Normal,31,Fraud,No,Frequent Abuser
CMP-040,C-040,O-040,Not working,2026-04-04,22,Fraud,No,Vague complaint,Device not working,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-268,C-040,O-268,looks kinda different from images,2026-04-27,18,Fraud,No,Unverified mismatch,Other,Low,Neutral,Normal,90,Fraud,No,Unverified mismatch
CMP-368,C-040,O-368,looks diff from pics,2026-05-07,18,Fraud,No,Unverified mismatch,Other,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-499,C-040,O-436,not bad but refund pls,2026-05-20,19,Fraud,No,Invalid request,Other,Low,Positive,Normal,21,Fraud,No,Frequent Abuser
CMP-041,C-041,O-041,Great product died in 2 hours 😡,2026-04-05,7,Legitimate,Yes,Sarcasm valid defect,Other,Low,Positive,Normal,6,Legitimate,Yes,Valid defect
CMP-185,C-041,O-185,mouse not working,2026-04-19,6,Legitimate,Yes,Hardware issue,Device not working,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-186,C-041,O-186,mouse little laggy,2026-04-19,14,Fraud,No,Low severity,Performance issue,Low,Neutral,Normal,22,Fraud,No,Vague complaint
CMP-259,C-041,O-259,i expected premium quality tbh,2026-04-26,18,Fraud,No,Expectation mismatch,Other,Low,Neutral,Normal,21,Fraud,No,Frequent Abuser
CMP-359,C-041,O-359,this doesnt match image online,2026-05-06,88,Fraud,No,Unverified mismatch,Other,Low,Neutral,Normal,31,Fraud,No,Frequent Abuser
CMP-042,C-042,O-042,Amazing laptop doesn’t turn on,2026-04-05,6,Legitimate,Yes,Sarcasm valid defect,Other,Low,Positive,Normal,6,Legitimate,Yes,Valid defect
CMP-250,C-042,O-250,works but i dont need it anymore,2026-04-25,19,Fraud,No,Change of mind,Other,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-350,C-042,O-350,refund pls no reason,2026-05-05,22,Fraud,No,Invalid request,Other,Low,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-404,C-042,O-418,keyboard keys not responding sometimes,2026-05-11,6,Legitimate,Yes,Hardware issue,Other,Low,Neutral,Normal,21,Fraud,No,Frequent Abuser
CMP-456,C-042,O-746,not good,2026-05-16,22,Fraud,No,Vague complaint,Other,Low,Negative,Normal,47,Fraud,No,Frequent Abuser
CMP-043,C-043,O-043,Fantastic phone already broken,2026-04-05,7,Legitimate,Yes,Sarcasm valid defect,Other,High,Positive,Normal,6,Legitimate,Yes,Valid defect
CMP-135,C-043,O-135,earbuds one side no sound,2026-04-14,6,Legitimate,Yes,Hardware defect,Other,Low,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-136,C-043,O-136,earbuds ok but not loud enough,2026-04-14,14,Fraud,No,Low severity,Other,Low,Positive,Normal,6,Legitimate,Yes,Valid defect
CMP-241,C-043,O-241,device wont connect to wifi at all,2026-04-25,6,Legitimate,Yes,Connectivity issue,Other,Low,Neutral,Normal,21,Fraud,No,Frequent Abuser
CMP-341,C-043,O-341,device randomly shutting down,2026-05-05,7,Legitimate,Yes,System issue,Other,Low,Neutral,Normal,31,Fraud,No,Frequent Abuser
CMP-044,C-044,O-044,Lovely headphones not working at all,2026-04-05,6,Legitimate,Yes,Sarcasm valid defect,Device not working,Low,Positive,Normal,6,Legitimate,Yes,Valid defect
CMP-232,C-044,O-232,battery drains overnight even idle,2026-04-24,6,Legitimate,Yes,Battery issue,Battery issue,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-332,C-044,O-332,screen showing faint shadows,2026-05-04,7,Legitimate,Yes,Display issue,Screen damage,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-421,C-044,O-520,device not connecting to wifi,2026-05-13,6,Legitimate,Yes,Connectivity issue,Other,Low,Neutral,Normal,21,Fraud,No,Frequent Abuser
CMP-473,C-044,O-499,battery drains very quickly,2026-05-18,6,Legitimate,Yes,Battery issue,Battery issue,Low,Neutral,Normal,31,Fraud,No,Frequent Abuser
CMP-045,C-045,O-045,Wow stopped working instantly,2026-04-05,6,Legitimate,Yes,Sarcasm valid defect,Device not working,Low,Positive,Normal,6,Legitimate,Yes,Valid defect
CMP-109,C-045,O-109,charger burnt smell coming,2026-04-11,5,Legitimate,Yes,Severe defect,Battery issue,High,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-110,C-045,O-110,wrong item delivered totally different 😠,2026-04-11,92,Fraud,No,Unverified mismatch,Other,Low,Negative,Normal,90,Fraud,No,Unverified mismatch
CMP-223,C-045,O-223,audio not working during calls,2026-04-23,6,Legitimate,Yes,Audio issue,Device not working,Low,Neutral,Normal,21,Fraud,No,Frequent Abuser
CMP-323,C-045,O-323,camera blurry in normal light,2026-05-03,6,Legitimate,Yes,Camera defect,Other,Low,Negative,Normal,31,Fraud,No,Frequent Abuser
CMP-046,C-046,O-046,My red headphones are broken,2026-04-05,92,Fraud,No,DB mismatch,Other,High,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-169,C-046,O-169,charger stopped working,2026-04-17,6,Legitimate,Yes,Hardware defect,Battery issue,Low,Negative,Normal,22,Fraud,No,Vague complaint
CMP-170,C-046,O-170,refnd pls asap!!! 😡,2026-04-17,20,Fraud,No,Vague complaint,Other,Low,Positive,High,6,Legitimate,Yes,Valid defect
CMP-214,C-046,O-214,tablet freezes randomly during use,2026-04-22,7,Legitimate,Yes,Performance issue,Performance issue,Low,Neutral,Normal,21,Fraud,No,Frequent Abuser
CMP-314,C-046,O-314,mouse pointer lagging randomly,2026-05-02,7,Legitimate,Yes,Hardware issue,Performance issue,Low,Negative,Normal,31,Fraud,No,Frequent Abuser
CMP-430,C-046,O-578,works fine but refund anyway,2026-05-13,20,Fraud,No,Invalid request,Other,Low,Positive,Normal,31,Fraud,No,Frequent Abuser
CMP-482,C-046,O-619,screen flicker issue,2026-05-19,7,Legitimate,Yes,Display issue,Screen damage,Low,Neutral,Normal,47,Fraud,No,Frequent Abuser
CMP-047,C-047,O-047,I ordered a laptop but got a phone,2026-04-05,95,Fraud,No,Switcheroo suspected,Other,Low,Neutral,Normal,93,Fraud,No,Color contradiction
CMP-205,C-047,O-205,charger cable loose connection keeps disconnecting,2026-04-21,6,Legitimate,Yes,Hardware issue,Battery issue,Medium,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-305,C-047,O-305,sound cuts off during playback,2026-05-01,6,Legitimate,Yes,Audio issue,Other,Low,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-439,C-047,O-634,meh not great honestly,2026-05-14,20,Fraud,No,Low severity,Other,Low,Negative,Normal,21,Fraud,No,Frequent Abuser
CMP-491,C-047,O-734,device stuck on boot,2026-05-20,6,Legitimate,Yes,System issue,Device not working,Low,Negative,Normal,31,Fraud,No,Frequent Abuser
CMP-048,C-048,O-048,My smartwatch is not working,2026-04-05,90,Fraud,No,DB mismatch,Device not working,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-296,C-048,O-296,ordered black but looks greyish??,2026-04-30,90,Fraud,No,Ambiguous contradiction,Other,Low,Neutral,Normal,93,Fraud,No,Color contradiction
CMP-396,C-048,O-396,ordered black looks grey?? 😡,2026-05-10,90,Fraud,No,Ambiguous contradiction,Other,Low,Positive,Normal,93,Fraud,No,Color contradiction
CMP-049,C-049,O-049,I got wrong earbuds model,2026-04-05,91,Fraud,No,Unverified mismatch,Other,Low,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-287,C-049,O-287,i guess its fine idk,2026-04-29,20,Fraud,No,Ambiguous,Other,Low,Positive,Normal,6,Legitimate,Yes,Valid defect
CMP-387,C-049,O-387,idk feels weird,2026-05-09,20,Fraud,No,Ambiguous,Other,Low,Negative,Normal,22,Fraud,No,Vague complaint
CMP-413,C-049,O-472,audio not working during calls,2026-05-12,6,Legitimate,Yes,Audio issue,Device not working,Low,Neutral,Normal,21,Fraud,No,Frequent Abuser
CMP-465,C-049,O-800,charger overheating continuously,2026-05-17,7,Legitimate,Yes,Overheating issue,Battery issue,Low,Neutral,Normal,47,Fraud,No,Frequent Abuser
CMP-050,C-050,O-050,I ordered headphones but got charger,2026-04-05,94,Fraud,No,Switcheroo suspected,Battery issue,Low,Neutral,Normal,93,Fraud,No,Color contradiction
CMP-119,C-050,O-119,device not connecting wifi,2026-04-12,6,Legitimate,Yes,Network issue,Other,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-120,C-050,O-120,not satisfied want refund,2026-04-12,20,Fraud,No,Change of mind,Other,Low,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-278,C-050,O-278,used it once returning now,2026-04-28,85,Fraud,No,Usage abuse,Other,Low,Neutral,High,100,Fraud,No,Frequent Abuser
CMP-378,C-050,O-378,used already now returning,2026-05-08,85,Fraud,No,Usage abuse,Other,Low,Neutral,High,100,Fraud,No,Frequent Abuser
CMP-448,C-050,O-692,used already returning now,2026-05-15,85,Fraud,No,Usage abuse,Other,Low,Neutral,High,100,Fraud,No,Frequent Abuser
CMP-051,C-051,O-051,Need refund ASAP device not working,2026-04-06,6,Legitimate,Yes,Valid issue,Device not working,Low,Neutral,High,6,Legitimate,Yes,Valid defect
CMP-153,C-051,O-153,device not connecting bluetooth,2026-04-16,6,Legitimate,Yes,Connectivity issue,Other,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-154,C-051,O-154,not satisfied 😒,2026-04-16,20,Fraud,No,Vague complaint,Other,Low,Negative,Normal,22,Fraud,No,Vague complaint
CMP-269,C-051,O-269,meh its okay but refund pls,2026-04-27,19,Fraud,No,Invalid request,Other,Low,Positive,Normal,21,Fraud,No,Frequent Abuser
CMP-369,C-051,O-369,meh refund pls,2026-05-07,20,Fraud,No,Vague complaint,Other,Low,Neutral,Normal,47,Fraud,No,Frequent Abuser
CMP-500,C-051,O-450,feels cheap,2026-05-20,18,Fraud,No,Low severity,Other,Low,Neutral,Normal,43,Fraud,No,Frequent Abuser
CMP-052,C-052,O-052,URGENT laptop not turning on 😡,2026-04-06,5,Legitimate,Yes,Valid issue,Device not working,Low,Positive,High,6,Legitimate,Yes,Valid defect
CMP-260,C-052,O-260,looks different than website,2026-04-26,18,Fraud,No,Unverified mismatch,Other,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-360,C-052,O-360,works but refund pls,2026-05-06,20,Fraud,No,Invalid request,Other,Low,Positive,Normal,6,Legitimate,Yes,Valid defect
CMP-053,C-053,O-053,Immediate refund required battery issue,2026-04-06,6,Legitimate,Yes,Valid issue,Battery issue,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-187,C-053,O-187,tablet dead suddenly,2026-04-19,6,Legitimate,Yes,Hardware defect,Device not working,High,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-188,C-053,O-188,tablet not stylish enough,2026-04-19,18,Fraud,No,Change of mind,Other,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-251,C-053,O-251,device stuck on boot screen,2026-04-26,6,Legitimate,Yes,System issue,Screen damage,Low,Negative,Normal,21,Fraud,No,Frequent Abuser
CMP-351,C-053,O-351,device stuck on startup,2026-05-06,6,Legitimate,Yes,System issue,Device not working,Low,Negative,Normal,31,Fraud,No,Frequent Abuser
CMP-054,C-054,O-054,Please respond immediately phone dead,2026-04-06,5,Legitimate,Yes,Valid issue,Device not working,High,Negative,High,6,Legitimate,Yes,Valid defect
CMP-242,C-054,O-242,bluetooth pairing failing repeatedly,2026-04-25,7,Legitimate,Yes,Connectivity issue,Other,Low,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-342,C-054,O-342,screen touch lagging slightly,2026-05-05,6,Legitimate,Yes,Touch issue,Screen damage,Low,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-055,C-055,O-055,Refund needed now charger burnt,2026-04-06,6,Legitimate,Yes,Valid issue,Battery issue,High,Neutral,High,6,Legitimate,Yes,Valid defect
CMP-137,C-055,O-137,monitor not turning on,2026-04-14,6,Legitimate,Yes,Severe defect,Screen damage,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-138,C-055,O-138,monitor ok but not great,2026-04-14,15,Fraud,No,Low severity,Screen damage,Low,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-233,C-055,O-233,device gets warm quickly while using apps,2026-04-24,7,Legitimate,Yes,Overheating issue,Heating issue,Low,Positive,Normal,21,Fraud,No,Frequent Abuser
CMP-333,C-055,O-333,keyboard unresponsive sometimes,2026-05-04,6,Legitimate,Yes,Hardware issue,Other,Low,Neutral,Normal,47,Fraud,No,Frequent Abuser
CMP-422,C-055,O-528,bluetooth disconnects randomly,2026-05-13,7,Legitimate,Yes,Connectivity issue,Other,Medium,Neutral,Normal,47,Fraud,No,Frequent Abuser
CMP-474,C-055,O-513,device heating issue noticed,2026-05-18,7,Legitimate,Yes,Overheating issue,Heating issue,Low,Neutral,Normal,31,Fraud,No,Frequent Abuser
CMP-056,C-056,O-056,battrey brokn need refnd asap,2026-04-06,6,Legitimate,Yes,Typo but valid,Other,Low,Neutral,High,6,Legitimate,Yes,Valid defect
CMP-224,C-056,O-224,touchscreen not responding in some areas,2026-04-23,7,Legitimate,Yes,Touch issue,Screen damage,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-324,C-056,O-324,screen brightness unstable,2026-05-03,7,Legitimate,Yes,Display issue,Screen damage,Medium,Neutral,Normal,22,Fraud,No,Vague complaint
CMP-405,C-056,O-423,mouse stopped working suddenly,2026-05-11,6,Legitimate,Yes,Hardware defect,Device not working,Low,Negative,Normal,21,Fraud,No,Frequent Abuser
CMP-457,C-056,O-752,feels off idk why,2026-05-16,20,Fraud,No,Ambiguous,Other,Low,Negative,Normal,31,Fraud,No,Frequent Abuser
CMP-057,C-057,O-057,phon not wrking properly 😤,2026-04-06,7,Legitimate,Yes,Typo but valid,Other,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-215,C-057,O-215,monitor showing weird color tint,2026-04-22,8,Legitimate,Yes,Display issue,Screen damage,Low,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-315,C-057,O-315,charger heats up too much,2026-05-02,7,Legitimate,Yes,Overheating issue,Battery issue,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-058,C-058,O-058,lapotp scren blank,2026-04-06,6,Legitimate,Yes,Typo but valid,Screen damage,Low,Neutral,Normal,22,Fraud,No,Vague complaint
CMP-171,C-058,O-171,device not working at all,2026-04-18,6,Legitimate,Yes,Severe defect,Device not working,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-172,C-058,O-172,ordered blue got black 😡,2026-04-18,94,Fraud,No,Color contradiction,Other,Low,Neutral,Normal,93,Fraud,No,Color contradiction
CMP-206,C-058,O-206,i ordered black but this looks dark blue??,2026-04-21,90,Fraud,No,Ambiguous contradiction,Other,Low,Neutral,Normal,100,Fraud,No,Frequent Abuser
CMP-306,C-058,O-306,idk not really happy with it,2026-05-01,20,Fraud,No,Ambiguous,Other,Low,Negative,Normal,31,Fraud,No,Frequent Abuser
CMP-431,C-058,O-583,device restarting randomly,2026-05-14,7,Legitimate,Yes,System issue,Device not working,Medium,Neutral,Normal,47,Fraud,No,Frequent Abuser
CMP-483,C-058,O-631,keyboard not working properly,2026-05-19,6,Legitimate,Yes,Hardware issue,Device not working,Low,Neutral,Normal,31,Fraud,No,Frequent Abuser
CMP-059,C-059,O-059,chargr burn smel,2026-04-06,5,Legitimate,Yes,Typo but valid,Heating issue,Low,Neutral,Normal,22,Fraud,No,Vague complaint
CMP-297,C-059,O-297,box was sealed but item clearly used,2026-04-30,95,Fraud,No,Switcheroo suspected,Other,Low,Positive,Normal,6,Legitimate,Yes,Valid defect
CMP-397,C-059,O-397,box looked sealed but used item inside,2026-05-10,95,Fraud,No,Switcheroo suspected,Other,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-440,C-059,O-640,refund pls no reason,2026-05-14,22,Fraud,No,Invalid request,Other,Low,Negative,Normal,21,Fraud,No,Frequent Abuser
CMP-492,C-059,O-747,bluetooth disconnect issue,2026-05-20,7,Legitimate,Yes,Connectivity issue,Other,Medium,Neutral,Normal,47,Fraud,No,Frequent Abuser
CMP-060,C-060,O-060,hedphones no sound,2026-04-06,6,Legitimate,Yes,Typo but valid,Other,Low,Negative,Normal,22,Fraud,No,Vague complaint
CMP-288,C-060,O-288,expected better honestly,2026-04-29,18,Fraud,No,Expectation mismatch,Other,Low,Positive,Normal,18,Fraud,No,Change of mind
CMP-388,C-060,O-388,expected better,2026-05-09,18,Fraud,No,Expectation mismatch,Other,Low,Positive,Normal,18,Fraud,No,Change of mind
CMP-061,C-061,O-061,My headphones stopped working within 3 days,2026-04-07,6,Legitimate,Yes,Valid defect,Device not working,Low,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-121,C-061,O-121,screen cracked right after opening box,2026-04-13,6,Legitimate,Yes,Physical damage,Screen damage,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-122,C-061,O-122,i ordered white got black 😡 why,2026-04-13,94,Fraud,No,Color contradiction,Other,Low,Neutral,Normal,93,Fraud,No,Color contradiction
CMP-279,C-061,O-279,this doesnt look like same product tbh,2026-04-28,88,Fraud,No,Unverified mismatch,Other,Low,Negative,Normal,21,Fraud,No,Frequent Abuser
CMP-379,C-061,O-379,not same as description,2026-05-08,88,Fraud,No,Unverified mismatch,Other,Low,Neutral,Normal,31,Fraud,No,Frequent Abuser
CMP-414,C-061,O-478,screen showing faint lines,2026-05-12,7,Legitimate,Yes,Display issue,Screen damage,Low,Neutral,Normal,31,Fraud,No,Frequent Abuser
CMP-449,C-061,O-698,this product not same as shown,2026-05-15,88,Fraud,No,Unverified mismatch,Other,Low,Neutral,Normal,31,Fraud,No,Frequent Abuser
CMP-466,C-061,O-402,ordered black got bluish shade?? 😡,2026-05-17,91,Fraud,No,Ambiguous contradiction,Other,Low,Neutral,Normal,100,Fraud,No,Frequent Abuser
CMP-062,C-062,O-062,Laptop is not turning on after first use,2026-04-07,5,Legitimate,Yes,Valid defect,Device not working,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-270,C-062,O-270,idk something feels off with it,2026-04-27,20,Fraud,No,Ambiguous,Other,Low,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-370,C-062,O-370,idk feels off,2026-05-07,20,Fraud,No,Ambiguous,Other,Low,Negative,Normal,22,Fraud,No,Vague complaint
CMP-063,C-063,O-063,Phone screen cracked within hours,2026-04-07,6,Legitimate,Yes,Physical damage,Screen damage,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-155,C-063,O-155,battery draining too fast,2026-04-16,6,Legitimate,Yes,Battery issue,Battery issue,Low,Neutral,High,6,Legitimate,Yes,Valid defect
CMP-156,C-063,O-156,prefer another color,2026-04-16,18,Fraud,No,Change of mind,Other,Low,Neutral,Normal,18,Fraud,No,Change of mind
CMP-261,C-063,O-261,phone randomly freezes while using apps,2026-04-27,7,Legitimate,Yes,Performance issue,Performance issue,Low,Neutral,Normal,21,Fraud,No,Frequent Abuser
CMP-361,C-063,O-361,device rebooting randomly,2026-05-07,7,Legitimate,Yes,System issue,Device not working,Low,Neutral,Normal,47,Fraud,No,Frequent Abuser
CMP-064,C-064,O-064,Earbuds not connecting properly,2026-04-07,7,Legitimate,Yes,Connectivity issue,Other,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-252,C-064,O-252,screen ghosting effect visible,2026-04-26,7,Legitimate,Yes,Display issue,Screen damage,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-352,C-064,O-352,screen flickering slightly,2026-05-06,7,Legitimate,Yes,Display issue,Screen damage,Low,Neutral,Normal,22,Fraud,No,Vague complaint
CMP-065,C-065,O-065,Tablet not charging at all,2026-04-07,6,Legitimate,Yes,Charging defect,Battery issue,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-189,C-065,O-189,charger overheating,2026-04-19,7,Legitimate,Yes,Overheating issue,Battery issue,Low,Neutral,Normal,22,Fraud,No,Vague complaint
CMP-190,C-065,O-190,charger slow but working,2026-04-19,14,Fraud,No,Low severity,Battery issue,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-243,C-065,O-243,camera blurry even in daylight,2026-04-25,6,Legitimate,Yes,Camera defect,Other,Low,Negative,Normal,21,Fraud,No,Frequent Abuser
CMP-343,C-065,O-343,battery draining faster,2026-05-05,6,Legitimate,Yes,Battery issue,Battery issue,Low,Neutral,Normal,47,Fraud,No,Frequent Abuser
CMP-066,C-066,O-066,Device stopped working after 6 days,2026-04-07,12,Legitimate,Yes,Edge valid,Device not working,Low,Negative,Normal,6,Legitimate,Yes,Valid defect
CMP-234,C-066,O-234,buttons not clicking properly,2026-04-24,6,Legitimate,Yes,Hardware issue,Other,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-334,C-066,O-334,mouse clicks not registering,2026-05-04,7,Legitimate,Yes,Hardware issue,Other,Low,Neutral,Normal,6,Legitimate,Yes,Valid defect
CMP-423,C-066,O-533,camera blurry even in daylight,2026-05-13,6,Legitimate,Yes,Camera defect,Other,Low,Negative,Normal,21,Fraud,No,Frequent Abuser
